Motion,Light_1,Light_2,Light_3,"original_video_coor, cropped_video_coor, cropped_video_area,  x0, x1, y0, y1 (crop coordinate)",Bin,Motion_Thresholded,Motion_Thresholded_Binary
920.4401036473392,1,1,0,"(360, 640)",0,920.4401036473392,1
1818.070543673037,1,1,0,"(143, 237)",1,1818.070543673037,1
1873.6167253813007,1,1,0,33891,2,1873.6167253813007,1
2295.9012755403983,1,1,0,142,3,2295.9012755403983,1
2429.440028763223,1,1,0,379,4,2429.440028763223,1
1914.262243679435,1,1,0,339,5,1914.262243679435,1
289.2850547553941,1,1,0,196,6,289.2850547553941,1
584.7388664550615,1,1,0,,7,584.7388664550615,1
1400.163657845434,1,1,0,,8,1400.163657845434,1
241.84811503227053,1,1,0,,9,241.84811503227053,1
314.40921010932686,1,1,0,,10,314.40921010932686,1
209.0248330202189,1,1,0,,11,209.0248330202189,1
147.90922445919816,1,1,0,,12,147.90922445919816,1
216.9062455624935,1,1,0,,13,216.9062455624935,1
65.43987157303621,1,1,0,,14,65.43987157303621,1
396.1015114309448,1,1,0,,15,396.1015114309448,1
274.98751894934713,1,1,0,,16,274.98751894934713,1
99.85789755023524,1,1,0,,17,99.85789755023524,1
198.18661834497115,1,1,0,,18,198.18661834497115,1
236.78558254945057,1,1,0,,19,236.78558254945057,1
224.6953579112001,1,1,0,,20,224.6953579112001,1
216.14743841288603,1,1,0,,21,216.14743841288603,1
254.15215811386508,1,1,0,,22,254.15215811386508,1
0.1487610107623096,1,1,0,,23,0.0,0
9.784612947819276,1,1,0,,24,0.0,0
3.419259611078492,1,1,0,,25,0.0,0
22.06836324656705,1,1,0,,26,22.06836324656705,1
143.08670311746627,1,1,0,,27,143.08670311746627,1
357.5368906415061,1,1,0,,28,357.5368906415061,1
871.671853720903,1,1,0,,29,871.671853720903,1
1011.4243914200885,1,1,0,,30,1011.4243914200885,1
597.768888646677,1,1,0,,31,597.768888646677,1
364.75589281068665,1,1,0,,32,364.75589281068665,1
345.0145276464052,1,1,0,,33,345.0145276464052,1
177.24284376220953,1,1,0,,34,177.24284376220953,1
16.337606504313445,1,1,0,,35,16.337606504313445,1
31.52041143196303,1,1,0,,36,31.52041143196303,1
94.2040282413874,1,1,0,,37,94.2040282413874,1
230.04011965718055,1,1,0,,38,230.04011965718055,1
749.5477043081895,1,1,0,,39,749.5477043081895,1
708.6448842836244,1,1,0,,40,708.6448842836244,1
1459.276366835389,1,1,0,,41,1459.276366835389,1
1123.0122485235738,1,1,0,,42,1123.0122485235738,1
957.6694263383276,1,1,0,,43,957.6694263383276,1
946.6061686676668,1,1,0,,44,946.6061686676668,1
1936.003302427362,1,1,0,,45,1936.003302427362,1
1394.3756194499415,1,1,0,,46,1394.3756194499415,1
1311.003716314344,1,1,0,,47,1311.003716314344,1
863.2292313931941,1,1,0,,48,863.2292313931941,1
1188.8507984509392,1,1,0,,49,1188.8507984509392,1
1288.4569943013455,1,1,0,,50,1288.4569943013455,1
270.3875152871208,1,1,0,,51,270.3875152871208,1
181.01458286524533,1,1,0,,52,181.01458286524533,1
205.6965979470957,1,1,0,,53,205.6965979470957,1
170.1286354196505,1,1,0,,54,170.1286354196505,1
482.6041813164089,1,1,0,,55,482.6041813164089,1
861.2204471367507,1,1,0,,56,861.2204471367507,1
1071.478456123638,1,1,0,,57,1071.478456123638,1
905.9761069455368,1,1,0,,58,905.9761069455368,1
586.1185711411093,1,1,0,,59,586.1185711411093,1
389.9632582741952,1,1,0,,60,389.9632582741952,1
707.51043107931,1,1,0,,61,707.51043107931,1
902.1085183666409,1,1,0,,62,902.1085183666409,1
734.2233151168962,1,1,1,,63,734.2233151168962,1
144.41579183768795,1,1,1,,64,144.41579183768795,1
0.0,1,1,1,,65,0.0,0
181.32396378581652,1,1,1,,66,181.32396378581652,1
557.3945102304309,1,1,0,,67,557.3945102304309,1
1116.1657176809472,1,1,0,,68,1116.1657176809472,1
1667.8002082770818,1,1,0,,69,1667.8002082770818,1
1120.5078981084134,1,1,0,,70,1120.5078981084134,1
1116.613567176879,1,1,0,,71,1116.613567176879,1
1594.70258914712,1,1,0,,72,1594.70258914712,1
1773.9388938064674,1,1,0,,73,1773.9388938064674,1
654.9840332429782,1,1,0,,74,654.9840332429782,1
658.7065499492464,1,1,0,,75,658.7065499492464,1
910.4129196100952,1,1,0,,76,910.4129196100952,1
638.3463031522533,1,1,0,,77,638.3463031522533,1
538.415581530336,1,1,0,,78,538.415581530336,1
1697.0113899712178,1,1,0,,79,1697.0113899712178,1
1719.059227119766,1,1,0,,80,1719.059227119766,1
612.7490341699707,1,1,0,,81,612.7490341699707,1
784.0121784771866,1,1,0,,82,784.0121784771866,1
548.4427041581077,1,1,0,,83,548.4427041581077,1
815.3849380322323,1,1,0,,84,815.3849380322323,1
589.9784451187915,1,1,0,,85,589.9784451187915,1
690.5252933893963,1,1,0,,86,690.5252933893963,1
779.3415931805976,1,1,0,,87,779.3415931805976,1
701.0563278998314,1,1,0,,88,701.0563278998314,1
390.60635503087946,1,1,0,,89,390.60635503087946,1
1296.3933210887185,1,1,1,,90,1296.3933210887185,1
2082.247688247537,1,1,1,,91,2082.247688247537,1
2.0158415518581623,1,1,1,,92,0.0,0
461.76133094686907,1,1,0,,93,461.76133094686907,1
864.8953042961359,1,1,0,,94,864.8953042961359,1
1210.435095895885,1,1,0,,95,1210.435095895885,1
1086.978462899269,1,1,0,,96,1086.978462899269,1
1209.5835527658378,1,1,0,,97,1209.5835527658378,1
242.35309431584128,1,1,0,,98,242.35309431584128,1
316.60617079064303,1,1,1,,99,316.60617079064303,1
19.09218812502681,1,0,1,,100,19.09218812502681,1
18.592715601390125,1,0,1,,101,18.592715601390125,1
10.40999559795896,1,0,1,,102,10.40999559795896,1
37.02604365322492,1,0,1,,103,37.02604365322492,1
36.48755141544189,1,0,1,,104,36.48755141544189,1
27.33073052646027,1,0,1,,105,27.33073052646027,1
0.4385488721555452,1,0,1,,106,0.0,0
1.711171888081633,1,0,1,,107,0.0,0
