Motion,Light_1,Light_2,Light_3,"original_video_coor, cropped_video_coor, cropped_video_area,  x0, x1, y0, y1 (crop coordinate)",Bin,Motion_Thresholded,Motion_Thresholded_Binary
0.0,1,0,0,,35182,0.0,0
6.707681800993005,1,0,0,,35183,0.0,0
0.0,1,0,0,,35184,0.0,0
7.2052247384244525,1,0,0,,35185,0.0,0
0.0,1,0,0,,35186,0.0,0
7.7839211776379695,1,0,0,,35187,0.0,0
0.0,1,0,0,,35188,0.0,0
8.472534177538508,1,0,0,,35189,0.0,0
0.0,1,0,0,,35190,0.0,0
9.3186839089318,1,0,0,,35191,0.0,0
0.0,1,0,0,,35192,0.0,0
10.408687263850124,1,0,0,,35193,10.408687263850124,1
0.0,1,0,0,,35194,0.0,0
11.921097591237023,1,0,0,,35195,11.921097591237023,1
0.0,1,0,0,,35196,0.0,0
14.31245011133595,1,0,0,,35197,14.31245011133595,1
0.0,1,0,0,,35198,0.0,0
19.3542228252765,1,0,0,,35199,19.3542228252765,1
0.0,1,0,0,,35200,0.0,0
33.18881891329595,1,1,0,,35201,33.18881891329595,1
29.85880272335074,1,1,0,,35202,29.85880272335074,1
19.130185040235872,1,1,0,,35203,19.130185040235872,1
29.85102752471131,1,1,0,,35204,29.85102752471131,1
14.177393012524982,1,1,0,,35205,14.177393012524982,1
28.60193283392084,1,1,0,,35206,28.60193283392084,1
11.376393613594916,1,1,0,,35207,11.376393613594916,1
27.228586670721803,1,1,0,,35208,27.228586670721803,1
9.511181633759689,1,1,0,,35209,0.0,0
25.88942001427361,1,1,0,,35210,25.88942001427361,1
8.158808915743935,1,1,0,,35211,0.0,0
24.603470058004,1,1,0,,35212,24.603470058004,1
7.126260443982366,1,1,0,,35213,0.0,0
23.361700241430587,1,1,0,,35214,23.361700241430587,1
6.310709042883394,1,1,0,,35215,0.0,0
22.149930151881293,1,1,0,,35216,22.149930151881293,1
5.6513676644772985,1,1,0,,35217,0.0,0
20.954251346636205,1,1,0,,35218,20.954251346636205,1
5.10933766864767,1,1,0,,35219,0.0,0
19.76222810048736,1,1,0,,35220,19.76222810048736,1
4.657921338325386,1,1,0,,35221,0.0,0
18.5630883182507,1,1,0,,35222,18.5630883182507,1
4.277360677496686,1,1,0,,35223,0.0,0
17.347851542665488,1,1,0,,35224,17.347851542665488,1
3.9515277576708927,1,1,0,,35225,0.0,0
16.109831251740278,1,1,0,,35226,16.109831251740278,1
3.665312727977845,1,1,0,,35227,0.0,0
14.846005604581338,1,1,0,,35228,14.846005604581338,1
3.4017645059732,1,1,0,,35229,0.0,0
13.560274657085651,1,1,0,,35230,13.560274657085651,1
3.137692963338772,1,1,0,,35231,0.0,0
12.271174145407771,1,1,0,,35232,12.271174145407771,1
2.83489794880505,1,1,0,,35233,0.0,0
11.031473855647937,1,1,0,,35234,11.031473855647937,1
2.418828705615484,1,1,0,,35235,0.0,0
9.985257090043032,1,1,0,,35236,0.0,0
1.7147501767290758,1,1,0,,35237,0.0,0
9.578365763399578,1,1,0,,35238,0.0,0
0.192133130860556,1,1,0,,35239,0.0,0
11.788093629180985,1,1,0,,35240,11.788093629180985,1
0.0,1,1,0,,35241,0.0,0
56.90763816451284,1,1,0,,35242,56.90763816451284,1
144.39301303737903,1,1,0,,35243,144.39301303737903,1
76.27161169369016,1,1,0,,35244,76.27161169369016,1
92.51306842817957,1,1,0,,35245,92.51306842817957,1
41.26757114880128,1,1,0,,35246,41.26757114880128,1
87.79347938151489,1,1,0,,35247,87.79347938151489,1
6.6709800228435,1,1,0,,35248,0.0,0
72.46530138724222,1,1,0,,35249,72.46530138724222,1
218.2263467473671,1,1,0,,35250,218.2263467473671,1
213.59948780941127,1,1,0,,35251,213.59948780941127,1
103.08845510132164,1,1,0,,35252,103.08845510132164,1
555.770284402855,1,1,0,,35253,555.770284402855,1
560.4292261753245,1,1,0,,35254,560.4292261753245,1
811.7497447328249,1,1,0,,35255,811.7497447328249,1
535.2701370913825,1,1,0,,35256,535.2701370913825,1
213.0667682219496,1,1,0,,35257,213.0667682219496,1
427.4782732658456,1,1,0,,35258,427.4782732658456,1
359.58872658363333,1,1,0,,35259,359.58872658363333,1
189.42226722518708,1,1,0,,35260,189.42226722518708,1
309.18250412447736,1,1,0,,35261,309.18250412447736,1
133.17600729612383,1,1,0,,35262,133.17600729612383,1
176.03077135639197,1,1,0,,35263,176.03077135639197,1
0.0,1,1,0,,35264,0.0,0
69.74111858754144,1,1,0,,35265,69.74111858754144,1
0.0,1,1,0,,35266,0.0,0
214.9186184043804,1,1,0,,35267,214.9186184043804,1
254.70254606077225,1,1,0,,35268,254.70254606077225,1
794.7060327230779,1,1,0,,35269,794.7060327230779,1
671.7567926793237,1,1,0,,35270,671.7567926793237,1
1639.0344217357654,1,1,0,,35271,1639.0344217357654,1
1954.5755246659896,1,1,0,,35272,1954.5755246659896,1
1515.7585370639324,1,1,0,,35273,1515.7585370639324,1
1312.8251895019723,1,1,0,,35274,1312.8251895019723,1
144.71221274340883,1,1,0,,35275,144.71221274340883,1
1207.94525719254,1,1,0,,35276,1207.94525719254,1
493.0677041640639,1,1,0,,35277,493.0677041640639,1
583.305116728587,1,1,0,,35278,583.305116728587,1
0.0,1,1,0,,35279,0.0,0
215.23667183217253,1,1,0,,35280,215.23667183217253,1
0.0,1,1,0,,35281,0.0,0
285.7451605912982,1,1,0,,35282,285.7451605912982,1
428.004535967449,1,1,0,,35283,428.004535967449,1
285.22354168535185,1,1,0,,35284,285.22354168535185,1
99.38582326036408,1,1,0,,35285,99.38582326036408,1
633.8032809343273,1,1,0,,35286,633.8032809343273,1
249.58538280665329,1,1,0,,35287,249.58538280665329,1
122.09037611277736,1,1,0,,35288,122.09037611277736,1
366.3298816942646,1,1,0,,35289,366.3298816942646,1
381.0551321941032,1,1,0,,35290,381.0551321941032,1
627.3608746420794,1,1,0,,35291,627.3608746420794,1
343.4445961014578,1,1,0,,35292,343.4445961014578,1
208.76033309798308,1,1,0,,35293,208.76033309798308,1
470.8203327961156,1,1,0,,35294,470.8203327961156,1
354.1509851815594,1,1,0,,35295,354.1509851815594,1
471.6840106816031,1,1,0,,35296,471.6840106816031,1
0.0,1,1,0,,35297,0.0,0
152.57500047548243,1,1,0,,35298,152.57500047548243,1
0.0,1,1,1,,35299,0.0,0
156.30382498231236,1,1,1,,35300,156.30382498231236,1
